,match_id,competition,season,home_team,away_team,home_score,away_score,home_win,away_win,tie,match_id_2,home_team_2,away_team_2,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI,Home_Win_Pred,away_Win_Pred
66,266236, La Liga, 2015/2016, Athletic Club, Barcelona,0,1,0,1,0,266236,Athletic Club,Barcelona,2.597621265,5.185086825,1.221587901,1.258945379,10.26324137,0.25673943,0.501569549,-0.244830119,0,1
67,266240, La Liga, 2014/2015, Real Sociedad, Barcelona,1,0,1,0,0,266240,Real Sociedad,Barcelona,2.298655926,5.688373639,1.153985938,1.337843663,10.47885917,0.236906863,0.525297251,-0.288390388,0,1
68,266254, La Liga, 2015/2016, Barcelona, Celta Vigo,6,1,1,0,0,266254,Barcelona,Celta Vigo,4.480502979,2.590294312,1.984382146,1.913103125,10.96828256,0.401997663,0.242660901,0.159336762,1,0
69,266273, La Liga, 2016/2017, Deportivo Alavés, Barcelona,0,6,0,1,0,266273,Deportivo Alavés,Barcelona,2.628245299,5.665015751,0.914290071,1.088229027,10.29578015,0.27216823,0.533332755,-0.261164526,0,1
70,266274, La Liga, 2013/2014, Barcelona, Celta Vigo,3,0,1,0,0,266274,Barcelona,Celta Vigo,5.244080099,2.867107384,1.513242485,1.367926988,10.99235696,0.463846346,0.274047039,0.189799306,1,0
71,266280, La Liga, 2016/2017, Barcelona, Sevilla,3,0,1,0,0,266280,Barcelona,Sevilla,4.65119794,3.476822163,1.468638013,1.464164453,11.06082257,0.420106583,0.314741124,0.10536546,1,0
72,266299, La Liga, 2016/2017, Barcelona, Celta Vigo,5,0,1,0,0,266299,Barcelona,Celta Vigo,5.312827381,2.953471424,1.341776954,1.395090243,11.003166,0.487690604,0.263574878,0.224115726,1,0
73,266310, La Liga, 2015/2016, RC Deportivo La Coruña, Barcelona,0,8,0,1,0,266310,RC Deportivo La Coruña,Barcelona,3.381784835,5.264167291,0.971867465,0.815267276,10.43308687,0.309130432,0.519574652,-0.210444221,0,1
74,266320, La Liga, 2014/2015, Barcelona, Espanyol,5,1,1,0,0,266320,Barcelona,Espanyol,6.460594106,1.83938224,1.438685227,1.573113579,11.31177515,0.583022768,0.150723813,0.432298954,1,0
75,266357, La Liga, 2016/2017, Osasuna, Barcelona,0,3,0,1,0,266357,Osasuna,Barcelona,1.702642422,6.652468419,1.21324805,0.823611863,10.39197075,0.126348146,0.677648617,-0.551300471,0,1
76,266406, La Liga, 2014/2015, Villarreal, Barcelona,0,1,0,1,0,266406,Villarreal,Barcelona,2.268499838,5.839807127,1.039810013,1.203144153,10.35126113,0.234931179,0.548384677,-0.313453498,0,1
77,266420, La Liga, 2013/2014, Almería, Barcelona,0,2,0,1,0,266420,Almería,Barcelona,2.610881979,5.760403231,1.163579299,1.128750986,10.6636155,0.241574133,0.543458412,-0.301884279,0,1
78,266433, La Liga, 2012/2013, Barcelona, Espanyol,4,0,1,0,0,266433,Barcelona,Espanyol,6.138518505,1.854927797,1.543718856,1.716784774,11.25394993,0.560832815,0.149446362,0.411386453,1,0
79,266440, La Liga, 2016/2017, Barcelona, Valencia,4,2,1,0,0,266440,Barcelona,Valencia,5.878573782,2.072821732,1.347356951,1.316679925,10.61543239,0.550886346,0.198154788,0.352731557,1,0
80,266477, La Liga, 2016/2017, Villarreal, Barcelona,1,1,0,0,1,266477,Villarreal,Barcelona,2.456227165,5.425118886,1.180187564,1.094015612,10.15554923,0.233375385,0.54268762,-0.309312235,0,1
81,266490, La Liga, 2015/2016, Barcelona, Levante,4,1,1,0,0,266490,Barcelona,Levante,5.508906494,2.64981485,1.332991181,1.176123044,10.66783557,0.501698618,0.263097699,0.238600919,1,0
82,266491, La Liga, 2013/2014, Barcelona, Getafe,2,2,0,0,1,266491,Barcelona,Getafe,5.33612882,2.005730825,2.184908605,1.930928889,11.45769714,0.44355764,0.197222052,0.246335588,1,0
83,266498, La Liga, 2015/2016, Barcelona, Getafe,6,0,1,0,0,266498,Barcelona,Getafe,5.257130469,2.551153074,1.543735164,1.478524453,10.83054316,0.479377597,0.241572721,0.237804876,1,0
84,266516, La Liga, 2016/2017, Real Betis, Barcelona,1,1,0,0,1,266516,Real Betis,Barcelona,2.823319829,4.337810882,1.396310314,1.60406261,10.16150363,0.298289725,0.406441678,-0.108151953,0,1
85,266525, La Liga, 2014/2015, Barcelona, Valencia,2,0,1,0,0,266525,Barcelona,Valencia,4.911174719,2.757398493,1.688813956,1.5856231,10.94301027,0.439365745,0.261407901,0.177957844,1,0
86,266528, La Liga, 2016/2017, Barcelona, Espanyol,4,1,1,0,0,266528,Barcelona,Espanyol,5.04659535,2.499333406,1.78384895,1.529554025,10.85933173,0.441307121,0.25357254,0.187734581,1,0
87,266531, La Liga, 2014/2015, Espanyol, Barcelona,0,2,0,1,0,266531,Espanyol,Barcelona,2.504030318,5.52050425,1.161010113,1.176514577,10.36205926,0.243150007,0.531265036,-0.288115029,0,1
88,266560, La Liga, 2014/2015, Valencia, Barcelona,0,1,0,1,0,266560,Valencia,Barcelona,2.672018547,5.510802592,1.222568107,1.303431599,10.70882084,0.257066775,0.507052941,-0.249986166,0,1
89,266613, La Liga, 2013/2014, Barcelona, Valencia,2,3,0,1,0,266613,Barcelona,Valencia,5.492905493,2.957109327,1.482460651,1.119452855,11.05192833,0.464163135,0.300410664,0.163752471,1,0
